T	X	Y	HEADING	NOW_NUM
0.1153	0.0000	0.0000	45.0000	739184.994126
0.2319	0.0000	0.0000	45.0000	739184.994126
0.3445	0.0000	0.0000	45.0000	739184.994126
0.4526	0.0000	0.0000	45.0000	739184.994126
0.5621	0.0000	0.0000	45.0000	739184.994126
0.6652	0.0000	0.0000	45.0000	739184.994126
0.7815	0.0000	0.0000	45.0000	739184.994126
0.8818	0.0000	0.0000	45.0000	739184.994126
0.9982	0.0000	0.0000	45.0000	739184.994126
1.1147	0.0000	0.0000	45.0000	739184.994126
1.2161	-0.1061	0.1061	45.0000	739184.994126
1.3241	-0.3182	0.3182	42.0000	739184.994126
1.4290	-0.3182	0.3182	27.0000	739184.994126
1.5354	-0.3182	0.3182	12.0000	739184.994126
1.6455	-0.5383	0.3650	12.0000	739184.994126
1.7533	-0.9784	0.4585	12.0000	739184.994126
1.8619	-1.0518	0.4741	12.0000	739184.994126
1.9741	-1.0518	0.4741	-3.0000	739184.994126
2.0769	-1.1218	0.4473	-21.0000	739184.994126
2.1889	-1.5432	0.2897	-18.0000	739184.994126
2.3024	-1.9876	0.2312	0.0000	739184.994126
2.4038	-2.4283	0.3129	18.0000	739184.994126
2.5202	-2.5668	0.3702	36.0000	739184.994126
2.6223	-2.5668	0.3702	54.0000	739184.994126
2.7261	-2.7432	0.6130	54.0000	739184.994126
2.8287	-3.0077	0.9770	54.0000	739184.994126
2.9316	-3.0077	0.9770	36.0000	739184.994126
3.0325	-3.0077	0.9770	51.0000	739184.994126
3.1342	-3.0077	0.9770	69.0000	739184.994126
3.2386	-3.0077	0.9770	84.0000	739184.994126
3.3499	-3.0077	0.9770	102.0000	739184.994126
3.4527	-2.9613	1.1197	108.0000	739184.994126
3.5664	-2.8223	1.5476	108.0000	739184.994126
3.6821	-2.6600	2.0470	108.0000	739184.994126
3.7981	-2.4978	2.5463	108.0000	739184.994126
3.9010	-2.3588	2.9742	108.0000	739184.994126
4.0113	-2.2197	3.4022	108.0000	739184.994126
4.1262	-2.0575	3.9015	108.0000	739184.994126
4.2270	-2.0381	3.9740	90.0000	739184.994126
4.3270	-2.0381	3.9740	72.0000	739184.994126
4.4327	-2.0381	3.9740	54.0000	739184.994126
4.5521	-2.0381	3.9740	33.0000	739184.994126
4.6676	-2.0381	3.9740	12.0000	739184.994126
4.7787	-2.0381	3.9740	3.0000	739184.994126
4.8946	-2.4125	3.9936	3.0000	739184.994126
5.0074	-2.8484	4.0982	21.0000	739184.994126
5.1144	-3.2435	4.3128	30.0000	739184.994126
5.2192	-3.5033	4.4628	30.0000	739184.994126
5.3367	-3.5033	4.4628	18.0000	739184.994126
5.4527	-3.9369	4.5830	18.0000	739184.994126
5.5638	-4.3308	4.7969	36.0000	739184.994126
5.6639	-4.5952	5.0613	54.0000	739184.994126
5.7707	-4.5952	5.0613	72.0000	739184.994126
5.8767	-4.5952	5.0613	90.0000	739184.994126
5.9857	-4.5952	5.0613	108.0000	739184.994126
6.0886	-4.5952	5.0613	123.0000	739184.994126
6.2076	-4.5952	5.0613	141.0000	739184.994126
6.3265	-4.5952	5.0613	159.0000	739184.994126
6.4357	-4.5952	5.0613	177.0000	739184.994126
6.5409	-4.5952	5.0613	195.0000	739184.994126
6.6435	-4.5952	5.0613	213.0000	739184.994126
6.7437	-4.5952	5.0613	231.0000	739184.994126
6.8452	-4.5952	5.0613	246.0000	739184.994126
6.9565	-4.5952	5.0613	246.0000	739184.994126
7.0664	-4.4732	4.7872	246.0000	739184.994126
7.1830	-4.2817	4.2994	255.0000	739184.994126
7.2979	-4.2817	4.2994	276.0000	739184.994126
7.3991	-4.3780	4.0156	291.0000	739184.994126
7.5011	-4.5160	3.6670	297.0000	739184.994126
7.6166	-4.5601	3.6063	306.0000	739184.994126
7.7329	-4.8687	3.1816	306.0000	739184.994126
7.8471	-4.8687	3.1816	306.0000	739184.994126
7.9694	-4.8687	3.1816	303.0000	739184.994126
8.0763	-4.8687	3.1816	285.0000	739184.994126
8.1859	-4.8687	3.1816	267.0000	739184.994126
8.2990	-4.8022	2.7366	261.0000	739184.994126
8.4184	-4.7552	2.2899	270.0000	739184.994126
8.5274	-4.7592	2.2150	288.0000	739184.994126
8.6321	-4.7592	2.2150	306.0000	739184.994126
8.7434	-4.7592	2.2150	324.0000	739184.994126
8.8491	-4.7592	2.2150	342.0000	739184.994126
8.9505	-4.7592	2.2150	360.0000	739184.994126
9.0641	-4.7592	2.2150	381.0000	739184.994126
9.1658	-4.7592	2.2150	399.0000	739184.994126
9.2773	-4.7592	2.2150	411.0000	739184.994126
9.3798	-4.9480	2.4481	411.0000	739184.994126
9.4808	-5.2312	2.7978	411.0000	739184.994126
9.5817	-5.5144	3.1476	411.0000	739184.994126
9.6965	-5.5144	3.1476	432.0000	739184.994126
9.8066	-5.5222	3.2974	447.0000	739184.994126
9.9074	-5.5458	3.7467	447.0000	739184.994126
10.0167	-5.5732	4.2710	447.0000	739184.994126
10.1309	-5.6007	4.7953	447.0000	739184.994126
10.2464	-5.6282	5.3196	447.0000	739184.994126
10.3630	-5.6791	5.8412	438.0000	739184.994126
10.4853	-5.7485	6.0550	417.0000	739184.994126
10.5921	-5.9597	6.2661	399.0000	739184.994126
0.1567	0.0000	0.0000	45.0000	739197.988545
0.2749	0.0000	0.0000	45.0000	739197.988545
0.4343	0.0000	0.0000	45.0000	739197.988545
0.5736	0.0000	0.0000	45.0000	739197.988545
0.7071	0.0000	0.0000	45.0000	739197.988545
0.8349	0.0000	0.0000	45.0000	739197.988545
0.9437	0.0000	0.0000	45.0000	739197.988545
1.0762	0.0000	0.0000	39.0000	739197.988545
1.2034	0.0000	0.0000	30.0000	739197.988545
